theme,quote,attribution
Positive Community Atmosphere,"It was nice to know that I'm not 'alone' with my issues.",Patient survey
Positive Community Atmosphere,"I loved that we all could share our struggles and also our wins!",Patient survey
Positive Community Atmosphere,"I left feeling seen and validated and hopeful…This was truly a powerful and empowering session.",Patient survey
Collaborative Engaging Educational Environment,"Not sure how I got to be this age and am still learning things about my own body. I don't enjoy talking about myself, but once people started in, I felt more comfortable.",Patient survey
Collaborative Engaging Educational Environment,"I was most intrigued by the possible explanation of gut discomfort arising from hypersensitivity of the gut wall.",Patient survey
Collaborative Engaging Educational Environment,"I appreciate that this was available via Zoom/online web conference. This is much easier than fighting traffic…it saves time too.",Patient survey
Equipping Patients with Hope and Actionable Tools,"I'm so hopeful that this class will help me live my life again.",Patient survey
Equipping Patients with Hope and Actionable Tools,"It feels very hopeful that science is truly seeking answers to a lot of digestive issues that we all seem to have!",Patient survey
Equipping Patients with Hope and Actionable Tools,"The breathing technique is new to me — I will use this.",Patient survey
Equipping Patients with Hope and Actionable Tools,"The mantra 'It's not in my head, but it may be in the brain and spinal cord' has already served me.",Patient survey
